Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster,Cluster Name
Túi Du Lịch Cần Kéo Thời Trang SAKOS STILO,Store Hành Lý,1313000.0,Sakos,0.0,0.0,0.0,Túi,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Túi Du Lịch Cần Kéo Thời Trang SAKOS GIGANT,Store Hành Lý,1547000.0,Sakos,0.0,0.0,1.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Vali Nhựa Thời Trang Cao Cấp DOMA DH855,DOMAVINA,2390000.0,Doma,0.0,0.0,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Dép thời trang Nữ NIKE W NIKE CALM MULE,Tiki Trading,1709000.0,Nike,0.0,0.0,2.0,Dép,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE NIKE AIR HUARACHE RUNNER,Tiki Trading,3309000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Giày thời trang nam NIKE NIKE AIR MAX SC,Tiki Trading,1899000.0,Nike,0.0,0.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Vải Jersey Mềm Dáng Rộng,UNIQLO,1275000.0,UNIQLO,64.0,4.89,0.0,Áo,VND,3.16,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Cản Gió Cổ Trụ,UNIQLO,1275000.0,UNIQLO,123.0,4.97,0.0,Áo,VND,3.19,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Thiết Kế | Set Up,UNIQLO,1275000.0,UNIQLO,9.0,5.0,0.0,Áo,VND,3.0,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Vải Denim Dáng Relax,UNIQLO,1275000.0,UNIQLO,0.0,0.0,0.0,Áo,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
KAWS + Warhol Áo Khoác Coach,UNIQLO,1275000.0,UNIQLO,35.0,4.94,0.0,Áo,VND,3.2,2,Sản phẩm trung bình (ít nổi bật)
KAWS + Warhol Áo Khoác Coach,UNIQLO,1275000.0,UNIQLO,49.0,4.9,0.0,Áo,VND,3.18,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Kiểu Sơ Mi Vải Double Face,UNIQLO,1275000.0,UNIQLO,6.0,4.83,0.0,Áo,VND,3.33,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Kiểu Sơ Mi Vải Double Face,UNIQLO,1275000.0,UNIQLO,1.0,5.0,0.0,Áo,VND,3.0,2,Sản phẩm trung bình (ít nổi bật)
PUFFTECH Áo Khoác Chần Bông | Có Mũ,UNIQLO,1471000.0,UNIQLO,56.0,4.89,0.0,Áo,VND,3.14,2,Sản phẩm trung bình (ít nổi bật)
