Tên sản phẩm	Tên cửa hàng	Giá	Thương hiệu	Lượt đánh giá	Điểm đánh giá trung bình	Số lượng đã bán	Link
Boxer Nam thời trang	Quỳnh Hoa Store	32000	jones'.	0	0.0	0	https://tiki.vn/boxer-nam-thoi-trang-p101949806.html?spid=101949835
Balo Thời Trang Kết Hợp Túi Đeo Chéo Thời Trang HARAS HR278	HARASMALL	250000	HARAS	3	3.7	21	https://tiki.vn/balo-thoi-trang-ket-hop-tui-deo-cheo-thoi-trang-haras-hr278-p77868343.html?spid=77868346
Nón thời trang, mũ BUCKET Di.or vải gấm thời trang (ẢNH THẬT)	VHL Fashion	77000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-di-or-vai-gam-thoi-trang-anh-that-p276449405.html?spid=276449407
Khuyên tai thời trang cho nữ thời trang ulzzang Hàn Quốc cao cấp	CECE STORE	76000	CeCe CiCi	0	0.0	0	https://tiki.vn/khuyen-tai-thoi-trang-cho-nu-thoi-trang-ulzzang-han-quoc-cao-cap-p275719219.html?spid=275719220
Túi xách nữ thời trang cao cấp thời trang – BEE GEE TN1005	BEE GEE SHOP	250000	Bee Gee	0	0.0	1	https://tiki.vn/tui-xach-nu-thoi-trang-cao-cap-thoi-trang-bee-gee-tn1005-p178940879.html?spid=178940881
Nón thời trang, mũ BUCKET BB vải kaki vành cụp thời trang nữ	VHL Fashion	78000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-bb-vai-kaki-vanh-cup-thoi-trang-nu-p275856239.html?spid=275856247
Túi xách nữ thời trang cao cấp thời trang – BEE GEE TN1006	BEE GEE SHOP	180000	Bee Gee	1	5.0	10	https://tiki.vn/tui-xach-nu-thoi-trang-cao-cap-thoi-trang-bee-gee-tn1006-p184859332.html?spid=184859334
Kính màu thời trang chống nắng uv thời trang cho Nam (Nhiều màu)	Kính Xinh	180000	LALAMIA	0	0.0	0	https://tiki.vn/kinh-mau-thoi-trang-chong-nang-uv-thoi-trang-cho-nam-nhieu-mau-p89118932.html?spid=89118940
Nón thời trang, mũ BUCKET trơn vải jeans vành cụp thời trang nữ	VHL Fashion	87000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-tron-vai-jeans-vanh-cup-thoi-trang-nu-p275856760.html?spid=275856764
Nón thời trang, mũ BUCKET Di.or vải kết vành cụp thời trang	VHL Fashion	86000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-di-or-vai-ket-vanh-cup-thoi-trang-p276048226.html?spid=276048228
Sách Sáng tạo thời trang: Thời trang nhảy - khiêu vũ (Hơn 100 stickers)	Tiki Trading	36000	N/A	0	0.0	2	https://tiki.vn/sach-sang-tao-thoi-trang-thoi-trang-nhay-khieu-vu-hon-100-stickers-p274471484.html?spid=274471488
Nón thời trang, mũ BUCKET BB phối vải jeans vành cụp thời trang	VHL Fashion	48000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-bb-phoi-vai-jeans-vanh-cup-thoi-trang-p275856281.html?spid=275856283
Nón thời trang, mũ BUCKET Tommy phối vải Kaki thời trang (ẢNH THẬT)	VHL Fashion	76000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-tommy-phoi-vai-kaki-thoi-trang-anh-that-p275889276.html?spid=275889278
Sách Sáng tạo thời trang: Thời trang cho búp bê (Hơn 100 stickers)	Tiki Trading	36000	N/A	0	0.0	4	https://tiki.vn/sach-sang-tao-thoi-trang-thoi-trang-cho-bup-be-hon-100-stickers-p274471506.html?spid=274471507
Kính râm thời trang unisex Mắt vuông gọng nhựa đen thời trang ulzzang	Kính Xinh Shop	160000	LiLiLa	0	0.0	0	https://tiki.vn/kinh-ram-thoi-trang-unisex-mat-vuong-gong-nhua-den-thoi-trang-ulzzang-p190214610.html?spid=190214611
Nón thời trang, mũ BUCKET Gu.cci vải Kaki thời trang (ẢNH THẬT)	VHL Fashion	85000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-gu-cci-vai-kaki-thoi-trang-anh-that-p276078407.html?spid=276078409
Nón thời trang, mũ BUCKET Di.or vải gấm thời trang (ẢNH THẬT)	VHL Fashion	75000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-di-or-vai-gam-thoi-trang-anh-that-p276078424.html?spid=276078426
Khẩu trang khăn choàng cổ nữ thời trang Hàn Quốc dona21111304	DONA Thời Trang	49000	OEM	0	0.0	1	https://tiki.vn/khau-trang-khan-choang-co-nu-thoi-trang-han-quoc-dona21111304-p139497775.html?spid=139497781
Mũ nón len 2 lớp thời trang nam nữ thu đông phối sọc logo thời trang Hàn Quốc dona23061102	DONA Thời Trang	99000	OEM	0	0.0	2	https://tiki.vn/mu-non-len-2-lop-thoi-trang-nam-nu-thu-dong-phoi-soc-logo-thoi-trang-han-quoc-dona23061102-p263590823.html?spid=263590827
Nón thời trang, mũ BUCKET Pra.da vải Kaki thời trang (ẢNH THẬT)	VHL Fashion	58000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-pra-da-vai-kaki-thoi-trang-anh-that-p275887388.html?spid=275887392
Nón thời trang, mũ BUCKET trơn vải jeans vành cụp thời trang nữ	VHL Fashion	82000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-tron-vai-jeans-vanh-cup-thoi-trang-nu-p275856753.html?spid=275856755
BỘ ĐỒ THỜI TRANG MÙA HÈ dn20041302	DONA Thời Trang	99000	OEM	4	4.5	13	https://tiki.vn/bo-do-thoi-trang-mua-he-dn20041302-p52629207.html?spid=52629208
BỘ ĐỒ THỜI TRANG MÙA HÈ dn20041301	DONA Thời Trang	99000	OEM	2	5.0	4	https://tiki.vn/bo-do-thoi-trang-mua-he-dn20041301-p52629166.html?spid=52629167
Nón thời trang, mũ BUCKET Gu.cci vải Kaki thời trang (ẢNH THẬT)	VHL Fashion	86000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-gu-cci-vai-kaki-thoi-trang-anh-that-p276449537.html?spid=276449539
Nón thời trang, mũ BUCKET Pra.da vải Kaki thời trang (ẢNH THẬT)	VHL Fashion	59000	VHL	0	0.0	0	https://tiki.vn/non-thoi-trang-mu-bucket-pra-da-vai-kaki-thoi-trang-anh-that-p276458321.html?spid=276458323
