Product ID,Product Name,Price,Currency,Rating,Total Ratings,Fit
E475078-000,UT PEANUTS Áo Thun | Dáng Rộng,391000.0,VND,4.67,6.0,3.0
E473529-000,UT PEANUTS Áo Thun,391000.0,VND,4.75,4.0,3.25
E473528-000,UT PEANUTS Áo Thun,391000.0,VND,5.0,3.0,3.0
E473527-000,UT PEANUTS Áo Thun,391000.0,VND,5.0,4.0,3.0
E470640-000,PEANUTS Áo Nỉ,784000.0,VND,,,
E466945-000,UT PEANUTS Áo Thun,391000.0,VND,5.0,4.0,3.0
E473496-000,UT ONE PIECE Anime 25th Áo Thun,391000.0,VND,4.93,15.0,2.87
E473495-000,UT ONE PIECE Anime 25th Áo Thun,391000.0,VND,4.9,20.0,2.95
E473494-000,UT ONE PIECE Anime 25th Áo Thun,391000.0,VND,5.0,11.0,2.82
E473492-000,UT ONE PIECE Anime 25th Áo Thun,391000.0,VND,4.93,27.0,3.07
E473491-000,UT ONE PIECE Anime 25th Áo Thun,391000.0,VND,4.96,28.0,2.93
E466155-000,UT ONE PIECE Anime 25th Áo Thun,391000.0,VND,5.0,16.0,3.0
E474199-000,UT Mickey Stands Áo Thun,391000.0,VND,5.0,3.0,3.0
E474198-000,UT Mickey Stands Áo Thun,391000.0,VND,5.0,7.0,3.14
E472883-000,UT Mickey Stands Áo Thun,391000.0,VND,5.0,8.0,3.0
E472882-000,UT Mickey Stands Áo Thun,391000.0,VND,5.0,16.0,3.19
E472881-000,UT Mickey Stands Áo Thun,391000.0,VND,5.0,8.0,3.0
E472879-000,UT Mickey Stands Áo Thun,391000.0,VND,4.6,5.0,3.0
E471084-000,UT Mickey Stands Áo Thun Ngắn Tay,391000.0,VND,4.92,12.0,3.0
E468894-000,UT Mickey Stands Áo Thun Ngắn Tay,391000.0,VND,4.95,20.0,3.05
E468893-000,UT Mickey Stands Áo Thun Ngắn Tay,391000.0,VND,4.92,12.0,2.83
E467108-000,UT Mickey Stands Áo Thun Ngắn Tay,391000.0,VND,4.92,13.0,3.15
E473467-000,UT MAGIC FOR ALL ICONS Áo Thun | Dáng Mini,391000.0,VND,5.0,12.0,2.92
E473466-000,UT MAGIC FOR ALL ICONS Áo Thun | Dáng Mini,391000.0,VND,4.82,11.0,3.0
E473465-000,UT MAGIC FOR ALL ICONS Áo Thun | Dáng Mini,391000.0,VND,4.2,10.0,2.9
E473183-000,UT MAGIC FOR ALL ICONS Áo Thun | Dáng Mini,391000.0,VND,4.75,4.0,3.0
E475464-000,UT miffy Áo Thun,391000.0,VND,5.0,7.0,3.14
E476851-000,UT The Louvre x Camille Hernot Áo Thun,391000.0,VND,,,
E476850-000,UT The Louvre x Camille Hernot Áo Thun,391000.0,VND,5.0,3.0,3.0
E476849-000,UT The Louvre x Camille Hernot Áo Thun,391000.0,VND,5.0,3.0,3.0
E476660-000,UT Manga Archive Áo Thun Ngắn Tay (Jujutsu),391000.0,VND,5.0,14.0,3.0
E476659-000,UT Manga Archive Áo Thun Ngắn Tay (Jujutsu),391000.0,VND,5.0,15.0,2.93
E476658-000,UT Manga Archive Áo Thun Ngắn Tay (Jujutsu),391000.0,VND,5.0,3.0,3.33
E476657-000,UT Manga Archive Áo Thun Ngắn Tay (Demon),391000.0,VND,5.0,4.0,2.5
E476656-000,UT Manga Archive Áo Thun Ngắn Tay (Demon),391000.0,VND,4.7,10.0,3.1
E474463-000,UT Manga Archive Áo Thun Ngắn Tay (Demon),391000.0,VND,5.0,11.0,3.0
E473525-000,UT KENSHI YONEZU Áo Thun Ngắn Tay (Chainsaw Man),391000.0,VND,5.0,7.0,3.14
E473524-000,UT KENSHI YONEZU Áo Thun Ngắn Tay (Chainsaw Man),391000.0,VND,5.0,9.0,3.33
E473523-000,UT KENSHI YONEZU Áo Thun Ngắn Tay (Final Fantasy),391000.0,VND,4.86,7.0,3.0
E473521-000,UT KENSHI YONEZU Áo Thun Ngắn Tay (Ultraman),391000.0,VND,5.0,9.0,3.22
E472895-000,UT Harry Potter Áo Thun Ngắn Tay (Hufflepuff),391000.0,VND,4.94,66.0,3.17
E472894-000,UT Harry Potter Áo Thun Ngắn Tay (Slytherin),391000.0,VND,4.94,71.0,3.07
E472893-000,UT Harry Potter Áo Thun Ngắn Tay (Ravenclaw),391000.0,VND,4.84,25.0,3.24
E468497-000,UT The Louvre x Camille Hernot Áo Thun,391000.0,VND,,,
E467241-000,UT KENSHI YONEZU Áo Thun Ngắn Tay (Stray Sheep),391000.0,VND,5.0,5.0,2.6
E466952-000,UT Harry Potter Áo Thun Ngắn Tay (Wand Woods),391000.0,VND,4.92,53.0,3.09
E456433-000,UT HOKUSAI Áo Thun,391000.0,VND,4.92,48.0,3.13
E470130-000,Áo Nỉ Cổ Tròn,588000.0,VND,4.95,21.0,3.38
E476113-000,AIRism Áo Hoodie Chống UV Vải Mắt Lưới Kéo Khóa,686000.0,VND,5.0,1.0,3.0
E471639-000,Áo Vải Jersey Mềm Chui Đầu,686000.0,VND,,,
E472561-000,Áo Vải Jersey Mềm Chui Đầu Half-Zip,489000.0,VND,5.0,1.0,5.0
E472464-000,Áo Nỉ | Hai Màu,686000.0,VND,4.89,18.0,3.11
E444966-000,Áo Nỉ,686000.0,VND,4.88,355.0,3.17
E476119-000,KAWS + Warhol Áo Nỉ,784000.0,VND,4.97,31.0,3.1
E462199-000,Áo Cardigan Nỉ,784000.0,VND,4.88,259.0,3.2
E469956-000,Áo Khoác Giả Lông Cừu Kéo Khóa | Hai Màu,686000.0,VND,4.92,26.0,3.08
E469953-000,Áo Khoác Lót Lông Giả Lông Cừu Kéo Khóa,686000.0,VND,4.92,13.0,3.46
E476355-000,PEACE FOR ALL Áo Thun Ngắn Tay (Magnum),391000.0,VND,5.0,1.0,3.0
E476354-000,PEACE FOR ALL Áo Thun Ngắn Tay (Magnum),391000.0,VND,,,
E476353-000,PEACE FOR ALL Áo Thun Ngắn Tay (Magnum),391000.0,VND,5.0,3.0,3.0
E475763-000,PEACE FOR ALL Áo Thun Ngắn Tay (Saul Leiter),391000.0,VND,5.0,3.0,3.0
E475762-000,PEACE FOR ALL Áo Thun Ngắn Tay (Han Meilin),391000.0,VND,5.0,1.0,3.0
E475761-000,PEACE FOR ALL Áo Thun Ngắn Tay (TOKUJIN),391000.0,VND,,,
E472520-000,PEACE FOR ALL Áo Thun | Takeshi Yoro,391000.0,VND,5.0,8.0,3.13
E472519-000,PEACE FOR ALL Áo Thun | Khaled Hosseini,391000.0,VND,5.0,7.0,3.14
E472518-000,PEACE FOR ALL Áo Thun | Hakuju Kuiseko,391000.0,VND,4.82,17.0,3.12
E472517-000,PEACE FOR ALL Áo Thun | Jason Polan,391000.0,VND,4.86,7.0,3.0
E472516-000,PEACE FOR ALL Áo Thun | Moomin,391000.0,VND,4.95,22.0,3.18
E471157-000,PEACE FOR ALL Áo Thun | Herzog & de Meuron,391000.0,VND,4.95,22.0,3.0
E468496-000,PEACE FOR ALL Áo Thun | Ultraman,391000.0,VND,4.89,19.0,3.16
E468495-000,PEACE FOR ALL Áo Thun | Yu Nagaba,391000.0,VND,5.0,7.0,3.29
E466377-000,PEACE FOR ALL (F. Risso) Áo Thun Ngắn Tay,391000.0,VND,4.6,10.0,3.2
E466374-000,PEACE FOR ALL (Julian Opie) Áo Thun Ngắn Tay,391000.0,VND,4.75,16.0,3.0
E466168-000,PEACE FOR ALL Áo Thun | E. Moureaux,391000.0,VND,4.83,6.0,3.0
E461415-000,PEACE FOR ALL (Keith Haring) Áo Thun Ngắn Tay,391000.0,VND,4.91,23.0,3.09
E459569-000,PEACE FOR ALL (Magnum Photos) Áo Thun Ngắn Tay,391000.0,VND,4.96,27.0,3.0
E459568-000,PEACE FOR ALL (Daido Moriyama) Áo Thun Ngắn Tay,391000.0,VND,4.9,21.0,3.14
E459567-000,PEACE FOR ALL (PEANUTS) Áo Thun Ngắn Tay,391000.0,VND,4.97,59.0,3.15
E459566-000,PEACE FOR ALL (Wim Wenders) Áo Thun Ngắn Tay,391000.0,VND,4.75,12.0,3.08
E459565-000,PEACE FOR ALL Áo Thun | Jean-Michel Basquiat,391000.0,VND,4.88,8.0,3.25
E459564-000,PEACE FOR ALL (Dick Bruna) Áo Thun Ngắn Tay,391000.0,VND,4.7,47.0,3.34
E459563-000,PEACE FOR ALL (Roger Federer) Áo Thun Ngắn Tay,391000.0,VND,4.85,20.0,3.1
E459562-000,PEACE FOR ALL Lisa Larson Áo Thun Ngắn Tay,391000.0,VND,4.8,20.0,3.1
E459561-000,PEACE FOR ALL (Akamai Technologies) Áo Thun Ngắn Tay,391000.0,VND,5.0,18.0,3.0
E457857-000,PEACE FOR ALL (Hana Tajima) Áo Thun Ngắn Tay,391000.0,VND,4.8,15.0,2.93
E457129-000,PEACE FOR ALL (Christophe Lemaire) Áo Thun Ngắn Tay,391000.0,VND,4.86,22.0,3.18
