Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Cluster,Cluster Name
Ladies Short-Sleeved One-Piece Swimsuit Lycra Tight Surf Snorkeling Beachwear,Purger flagship store,848000.0,SBART,1.0,4.0,1.0,Khác,VND,1,Sản phẩm bình dân & phổ biến
Đồ Lặn Biển Cho Nam,Purger flagship store,999999.0,SBART,1.0,4.0,1.0,Khác,VND,1,Sản phẩm bình dân & phổ biến
Balo Nữ Mini Thời Trang Da Mềm thời trang – BEE GEE BLNN9010,BEE GEE SHOP,820000.0,Bee Gee,1.0,2.0,1.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo thời trang SAKOS ARMORE,Balonation,1096640.0,Sakos,8.0,3.9,16.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo laptop thời trang đa năng Ozuko,Boss Baby Shop,1000000.0,OZUKO,1.0,5.0,3.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
GIÀY NỮ THỜI TRANG ELLY- EG244,ELLY,1094400.0,Elly,1.0,5.0,1.0,Giày,VND,1,Sản phẩm bình dân & phổ biến
Mũ vành thời trang NÓN SƠN-MH009-VG1-L,Thời Trang Nón Sơn Official,875000.0,Nón Sơn,1.0,5.0,1.0,Nón/Mũ,VND,1,Sản phẩm bình dân & phổ biến
Giày thời trang nam NIKE COURT VISION LO,Tiki Trading,1459000.0,Nike,6.0,4.7,25.0,Giày,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL269,ELLY,1004300.0,Elly,1.0,5.0,1.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL263,ELLY,934300.0,Elly,1.0,5.0,1.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL246,ELLY,1034100.0,Elly,1.0,5.0,3.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL248,ELLY,1304100.0,Elly,1.0,5.0,2.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL258,ELLY,994200.0,Elly,1.0,5.0,1.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL239,ELLY,1004300.0,Elly,1.0,5.0,2.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Giày thời trang Nữ WMNS NIKE GAMMA FORCE - SAIL/LIGHT SILVER-SEA GLASS-COCONUT MILK - 8 US,Tiki Trading,1889000.0,Nike,3.0,5.0,10.0,Giày,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL259,ELLY,994200.0,Elly,1.0,5.0,1.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Túi xách nữ thời trang ELLY – EL224,ELLY,934300.0,Elly,1.0,5.0,1.0,Túi,VND,1,Sản phẩm bình dân & phổ biến
Giày thời trang Nữ NIKE WMNS NIKE GAMMA FORCE,Tiki Trading,1889000.0,Nike,1.0,5.0,4.0,Giày,VND,1,Sản phẩm bình dân & phổ biến
Balo Nữ Thời Trang Cao Cấp Elly EBH18,ELLY,864300.0,Elly,7.0,5.0,20.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo nữ thời trang cao cấp ELLY – EBH34,ELLY,1004300.0,Elly,6.0,4.8,19.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo Du Lịch Thời Trang Cao Cấp SAKOS LUXER,SAKOS Official Store,1563080.0,Sakos,7.0,4.0,48.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo Du Lịch Thời Trang Cao Cấp SAKOS TRENDY,SAKOS Official Store,1637600.0,Sakos,1.0,5.0,1.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo nữ thời trang cao cấp ELLY – EBH12,ELLY,1004300.0,Elly,10.0,4.8,21.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo nữ thời trang cao cấp ELLY – EBH54,ELLY,1004300.0,Elly,1.0,4.0,2.0,Balo/Cặp,VND,1,Sản phẩm bình dân & phổ biến
Balo UNISEX  Thời Trang HARAS HRS008,HARASMALL,200000.0,HARAS,150.0,4.7,500.0,Balo/Cặp,VND,2,Sản phẩm trung bình (ít nổi bật)
Dẫn Luận Về Thời Trang,Tiki Trading,58600.0,OEM,58.0,4.6,731.0,Khác,VND,2,Sản phẩm trung bình (ít nổi bật)
Balo Thời Trang PRAZA - BL172,Praza,149000.0,Praza,114.0,4.6,678.0,Balo/Cặp,VND,2,Sản phẩm trung bình (ít nổi bật)
Túi xách du lịch thời trang HARAS HR224,HARASMALL,250000.0,HARAS,55.0,4.3,886.0,Túi,VND,2,Sản phẩm trung bình (ít nổi bật)
