Product ID,Product Name,Price,Currency,URL,Rating,Total Ratings,Fit
E475162-001,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E475162-001?colorCode=COL69&sizeCode=SIZ999,N/A,N/A,N/A
E475162-000,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0000,VND,https://www.uniqlo.com/vn/vi/products/E475162-000?colorCode=COL01&sizeCode=SIZ999,N/A,N/A,N/A
E477148-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477148-000?colorCode=COL00&sizeCode=SMA002,4.93,29,3.21
E477147-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477147-000?colorCode=COL59&sizeCode=SMA002,5,13,3.15
E477146-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477146-000?colorCode=COL08&sizeCode=SMA002,4.83,6,3
E474425-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E474425-000?colorCode=COL09&sizeCode=SMA002,4.94,18,2.94
E477501-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477501-000?colorCode=COL00&sizeCode=SMA002,3,1,3
E477488-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477488-000?colorCode=COL61&sizeCode=SMA002,N/A,N/A,N/A
E477487-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0000,VND,https://www.uniqlo.com/vn/vi/products/E477487-000?colorCode=COL08&sizeCode=SMA002,N/A,N/A,N/A
E476138-000,MAGIC FOR ALL x Yu Nagaba Áo Hoodie Nỉ,588000.0000,VND,https://www.uniqlo.com/vn/vi/products/E476138-000?colorCode=COL11&sizeCode=SMA005,4.8,10,3.2
