Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster
Đầm Ngắn Nữ Thời Trang JUNO Thun Mini Tay Lở Dáng Xoè JNDNG015,JUNO,599000.0,Juno,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm Midi Đầm Dài Đầm Đắp Vạt DRE109 Thời trang thiết kế Hity,Hity – lifestyle your way,1896000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm xòe nữ Đũi Việt ngắn tay kẻ sọc caro thời trang cho nữ công sở,ĐŨI VIỆT Official,299000.0,ĐŨI VIỆT,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm Nhung Cao Cấp Thời trang thiết kế Hity DRE101 Phối Ren (Xanh Hunter),Hity – lifestyle your way,1349000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm Midi Hoa Đầm Đẹp Đầm Đuôi Cá Cao Cấp Thời trang thiết kế Hity DRE123 (In Collage),Hity – lifestyle your way,1800000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
"Đầm xòe Đũi Việt ngắn tay kẻ sọc caro thời trang cho nữ, phong cách thanh lịch DV211",ĐŨI VIỆT Official,249000.0,ĐŨI VIỆT,0.0,0.0,0.0,Đầm,VND,0.0,0
"Váy sơ mi nữ dáng dài chất liệu đũi mềm mát, thời trang hè nữ ARCTIC HUNTER AH162",Hai Fashion,299000.0,ARCTIC HUNTER,4.0,4.0,21.0,Áo,VND,0.0,0
Đầm Midi Thắt Eo Hity DRE097 (Xanh Rừng Nhiệt Đới),Hity – lifestyle your way,1349000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm Maxi Hoa Hity DRE110 (In Collage),Hity – lifestyle your way,1900000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm nữ dáng xoè dài tay hoa nhí cổ nơ xinh xắn bánh bèo thời trang Đũi Việt DV16,ĐŨI VIỆT Official,199000.0,ĐŨI VIỆT,0.0,0.0,0.0,Đầm,VND,0.0,0
"Đầm xoè dự tiệc, Đầm nữ thời trang phối màu đen trắng sang chảnh ARCTIC HUNTER Ah77",Hai Fashion,249000.0,ARCTIC HUNTER,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm Đuôi Cá Đầm Dự Tiệc Cao Cấp Thời trang thiết kế Hity DRE120 (Tím Violet Sương Khói),Hity – lifestyle your way,1700000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm Linen Đầm Chữ A Đầm Kiểu Cao Cấp Hoa Thời trang thiết kế Hity DRE129 (In Hoa),Hity – lifestyle your way,1400000.0,Hity,0.0,0.0,0.0,Đầm,VND,0.0,0
"Đầm xoè công sở, Đầm dự tiệc kiểu cách, Đầm nữ thời trang phối màu đen trắng sang chảnh D77",Công Sở Đẹp,199000.0,Haint Boutique,0.0,0.0,0.0,Đầm,VND,0.0,0
Đầm váy hoa xòe thiết kế tay loe thắt eo cổ sơ mi xinh xắn thời trang ARCTIC HUNTER AH19,Hai Fashion,199000.0,ARCTIC HUNTER,0.0,0.0,0.0,Áo,VND,0.0,0
"Đầm Đũi Khoét Nách Dáng Suông Dài Nhiều Màu, Váy Ba Lỗ Chất Liệu Đũi Đẹp Form Rộng Thời Trang Đũi Việt",ĐŨI VIỆT Official,220000.0,ĐŨI VIỆT,0.0,0.0,1.0,Váy,VND,0.0,0
"Váy đầm voan hoa nhí thiết kế cổ V nữ tính, đầm đuôi cá hoa nhí vintage, thời trang hè thu mới Da177",Hai Fashion,299000.0,ARCTIC HUNTER,0.0,0.0,4.0,Váy,VND,0.0,0
"Đầm váy nữ thời trang họa tiết kiểu mùa hè Hàn Quốc dành cho phái nữ, Đầm nữ dáng xoè ARCTIC HUNTER AH35",Hai Fashion,199000.0,ARCTIC HUNTER,1.0,3.0,2.0,Váy,VND,0.0,0
"Đầm Váy Nữ Basic Cổ Sơ Mi Cài Cúc Chiết Eo Lưng Chun Nhiều Màu Thời Trang Váy Nữ Cộc Tay Đen, Trắng, Be, Nâu G5",ĐỖ THIỆN UNISEX,96000.0,OEM,0.0,0.0,0.0,Áo,VND,0.0,0
" Đầm váy kẻ caro dáng xòe thiết kế 2 túi dây eo vô cùng trẻ trung,chất vải thô đũi mềm mát Thời trang nữ Haint Boutique Da159",Haint Boutique Official,199000.0,Haint Boutique,0.0,0.0,0.0,Váy,VND,0.0,0
Đầm maxi cổ yếm đính hoa nối tầng thắt nơ nhiều màu thời trang trẻ đẹp (ảnh chụp thật) Váy đi chơi biển du lịch 2 lớp giá rẻ,ĐỖ THIỆN UNISEX,155000.0,OEM,0.0,0.0,0.0,Váy,VND,0.0,0
Thắt lưng dây nịt nữ Đa năng dây chuyền dột eo mang đầm váy áo khoác mũ nón lá bện rít da dài Kiểu dáng thời trang Korea phù hợp với các loại trang phục quần áo đầm váymũ nón dây chuyền... Kích thước dài 160cm hàng nhập #thatlungnu #daynitnu  dona23101801,DONA Thời Trang,29000.0,OEM,0.0,0.0,0.0,Áo,VND,0.0,0
"Đầm suông cổ sơ mi ngắn tay kèm dây thắt eo, chất vải trơn cáo cấp, thời trang công sở Da34",HaiBoutique,199000.0,Haint Boutique,0.0,0.0,0.0,Áo,VND,0.0,0
Ba Lô Mark Ryden Sức Chứa Lớn Có Cổng Sạc Usb Chống Thấm Nước Tiện Lợi Cho Nam Khi Du Lịch,YuanBao Global Store,919000.0,Mark Ryden,0.0,0.0,3.0,Balo/Cặp,VND,0.0,0
"Ba Lô Sinh Viên Mark Ryden dành cho nam thiết kế có cổng sạc USB, dung tích lớn, thiết kế tinh tế",YuanBao Global Store,620000.0,Mark Ryden,0.0,0.0,2.0,Balo/Cặp,VND,0.0,0
"Ba lô dung tích 60 lít, dùng để đi bộ đường dài, leo núi, cắm trại, không thấm nước-Màu quả cam",Ideal outdoors,669000.0,weikani,0.0,0.0,3.0,Balo/Cặp,VND,0.0,0
"Đầm khiêu vũ, váy nhảy Latin cho vũ đoàn, trang phục nhóm nhảy M2801",Trang phục biểu diễn Dũng Trum,290000.0,OEM,0.0,0.0,1.0,Váy,VND,0.0,0
Váy Đầm Noel hoá trang người lớn chất liệu nhung 4 món,MPPshop,350000.0,OEM,0.0,0.0,0.0,Váy,VND,0.0,0
DOTTIE - Đầm maxi rút dây kèm hoa trang trí - D0490,Dottie,769000.0,Dottie,0.0,0.0,0.0,Đầm,VND,0.0,0
Túi Đeo Chéo MARK RYDEN MR8109 Thời Trang Dành Cho Nam,YuanBao Global Store,439000.0,Mark Ryden,0.0,0.0,1.0,Túi,VND,0.0,0
