Product ID,Product Name,Price,Currency,Colors,URL,Rating,Total Ratings,Fit,Rating Count
E449860-000,Áo Thun Vải Waffle Cổ Tròn,391000.0000,VND,"['WHITE', 'BLACK', 'PINK', 'GREEN', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E449860-000?colorCode=COL00&sizeCode=SMA002,4.87,668,3.23,"{'one': 2, 'two': 4, 'three': 6, 'four': 55, 'five': 601}"
E442063-000,HEATTECH Áo Giữ Nhiệt Giả Lông Cừu | Cổ Lọ,391000.0000,VND,"['OFF WHITE', 'LIGHT GRAY', 'BLACK', 'PINK', 'BEIGE', 'DARK GREEN']",https://www.uniqlo.com/vn/vi/products/E442063-000?colorCode=COL01&sizeCode=SMA002,4.85,506,3.04,"{'one': 3, 'two': 0, 'three': 7, 'four': 51, 'five': 445}"
E476969-000,Áo Polo Dáng Lửng,489000.0000,VND,"['OFF WHITE', 'RED', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E476969-000?colorCode=COL01&sizeCode=SMA002,4.9,39,3.15,"{'one': 0, 'two': 0, 'three': 0, 'four': 4, 'five': 35}"
E476258-000,Áo Polo Dáng Lửng | Kẻ Sọc,489000.0000,VND,"['PINK', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E476258-000?colorCode=COL10&sizeCode=SMA002,5,14,3.14,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 14}"
E473162-000,Áo Polo Vải Dry Pique | 2 Màu,489000.0000,VND,"['BLACK', 'DARK GREEN', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E473162-000?colorCode=COL09&sizeCode=SMA002,4.83,24,3.08,"{'one': 0, 'two': 0, 'three': 0, 'four': 4, 'five': 20}"
E472592-000,Áo Polo Vải Dry Pique | Kẻ Sọc,489000.0000,VND,['GRAY'],https://www.uniqlo.com/vn/vi/products/E472592-000?colorCode=COL04&sizeCode=SMA002,4.67,12,3.08,"{'one': 0, 'two': 0, 'three': 0, 'four': 4, 'five': 8}"
E469052-000,Áo Polo Vải Dry Pique | Tipping,489000.0000,VND,"['WHITE', 'NATURAL', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E469052-000?colorCode=COL00&sizeCode=SMA002,4.89,150,3.05,"{'one': 0, 'two': 1, 'three': 0, 'four': 14, 'five': 135}"
E466816-000,Áo Polo Vải Dry Pique | Kẻ Sọc,489000.0000,VND,"['WHITE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E466816-000?colorCode=COL00&sizeCode=SMA002,4.86,88,3.11,"{'one': 1, 'two': 0, 'three': 0, 'four': 8, 'five': 79}"
E465601-000,AIRism Cotton Áo Polo Vải Gân,489000.0000,VND,"['OFF WHITE', 'LIGHT GRAY', 'BLACK', 'PINK', 'KHAKI']",https://www.uniqlo.com/vn/vi/products/E465601-000?colorCode=COL01&sizeCode=SMA002,4.86,203,2.91,"{'one': 1, 'two': 0, 'three': 3, 'four': 18, 'five': 181}"
E455388-000,Áo Polo Vải Dry Pique,489000.0000,VND,"['WHITE', 'GRAY', 'BLACK', 'WINE', 'OLIVE', 'BLUE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E455388-000?colorCode=COL00&sizeCode=SMA002,4.84,1120,3.09,"{'one': 7, 'two': 5, 'three': 13, 'four': 107, 'five': 988}"
E471220-000,Áo Polo Dệt Kim Vải Gân Có Thể Giặt Máy,588000.0000,VND,"['DARK GREEN', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E471220-000?colorCode=COL58&sizeCode=SMA003,4.95,112,3,"{'one': 0, 'two': 0, 'three': 1, 'four': 4, 'five': 107}"
E469483-000,Áo Polo Cardigan Len Merino,686000.0000,VND,"['OFF WHITE', 'GRAY', 'BLACK', 'YELLOW', 'OLIVE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E469483-000?colorCode=COL01&sizeCode=SMA002,2.33,3,3,"{'one': 2, 'two': 0, 'three': 0, 'four': 0, 'five': 1}"
E465193-000,AIRism Cotton Áo Thun,489000.0000,VND,"['WHITE', 'GRAY', 'BLACK', 'NATURAL', 'DARK BROWN', 'OLIVE', 'DARK GREEN', 'BLUE', 'NAVY', 'PURPLE', 'PURPLE']",https://www.uniqlo.com/vn/vi/products/E465193-000?colorCode=COL00&sizeCode=SMA002,4.79,298,3.15,"{'one': 5, 'two': 3, 'three': 3, 'four': 27, 'five': 260}"
E465185-000,AIRism Cotton Áo Thun Dáng Rộng | Tay Lỡ,391000.0000,VND,"['WHITE', 'LIGHT GRAY', 'GRAY', 'BLACK', 'RED', 'KHAKI', 'BROWN', 'GREEN', 'GREEN', 'GREEN', 'BLUE', 'NAVY', 'PURPLE']",https://www.uniqlo.com/vn/vi/products/E465185-000?colorCode=COL00&sizeCode=SMA002,4.87,1611,3.17,"{'one': 19, 'two': 4, 'three': 17, 'four': 80, 'five': 1491}"
E461914-000,AIRism Cotton Áo Thun Dáng Rộng | Kẻ Sọc,391000.0000,VND,"['WHITE', 'BLACK', 'BEIGE', 'BROWN', 'BLUE', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E461914-000?colorCode=COL00&sizeCode=SMA002,4.85,758,3.14,"{'one': 4, 'two': 10, 'three': 10, 'four': 46, 'five': 688}"
E422992-000,Áo Thun Cổ Tròn,293000.0000,VND,"['WHITE', 'LIGHT GRAY', 'GRAY', 'BLACK', 'RED', 'NATURAL', 'DARK BROWN', 'OLIVE', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E422992-000?colorCode=COL00&sizeCode=SMA002,4.82,3607,3.08,"{'one': 48, 'two': 23, 'three': 60, 'four': 277, 'five': 3199}"
E471696-000,Áo Bra Top Dáng Lửng | Ringer,489000.0000,VND,"['WHITE', 'BLACK', 'DARK GREEN']",https://www.uniqlo.com/vn/vi/products/E471696-000?colorCode=COL00&sizeCode=SMA002,4.92,161,3.02,"{'one': 1, 'two': 0, 'three': 1, 'four': 7, 'five': 152}"
E464426-000,Áo Bra Dáng Lửng Không Tay,489000.0000,VND,"['WHITE', 'BLACK', 'BEIGE']",https://www.uniqlo.com/vn/vi/products/E464426-000?colorCode=COL00&sizeCode=SMA002,4.9,555,3.07,"{'one': 3, 'two': 2, 'three': 4, 'four': 29, 'five': 517}"
E464420-000,Áo Bra Top Dáng Lửng | Kẻ Sọc,489000.0000,VND,"['OFF WHITE', 'BLACK']",https://www.uniqlo.com/vn/vi/products/E464420-000?colorCode=COL01&sizeCode=SMA003,4.88,245,3,"{'one': 1, 'two': 1, 'three': 1, 'four': 21, 'five': 221}"
E475512-000,Áo Bra Top Cổ Yếm | Kẻ Sọc,489000.0000,VND,"['OFF WHITE', 'RED', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E475512-000?colorCode=COL01&sizeCode=SMA003,4.91,86,3.02,"{'one': 0, 'two': 0, 'three': 2, 'four': 4, 'five': 80}"
E473985-000,Áo Bra Top Dáng Lửng | Không Tay,489000.0000,VND,"['WHITE', 'LIGHT GRAY', 'BLACK', 'PINK', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E473985-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A,{}
E470939-000,Áo Bra Top Cổ Yếm,489000.0000,VND,"['WHITE', 'BLACK', 'PINK', 'BEIGE', 'DARK GREEN']",https://www.uniqlo.com/vn/vi/products/E470939-000?colorCode=COL00&sizeCode=SMA003,4.87,556,3.04,"{'one': 0, 'two': 2, 'three': 8, 'four': 48, 'five': 498}"
E464437-000,AIRism Cotton Áo Bra Quây Dáng Ngắn,489000.0000,VND,"['WHITE', 'DARK GRAY', 'BLACK', 'BEIGE', 'DARK BROWN', 'NAVY']",https://www.uniqlo.com/vn/vi/products/E464437-000?colorCode=COL00&sizeCode=SMA002,4.82,336,2.91,"{'one': 1, 'two': 1, 'three': 8, 'four': 37, 'five': 289}"
